mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/13/20-11:56,80.6,-1,3,0,5.84,100
3/13/20-11:56,80.6,-1,3,0,5.14,100
3/13/20-12:04,81.5,-1,3,0,5.14,4.21
3/13/20-12:34,80.6,-1,33,0,60.41,4.21
3/13/20-13:04,79.7,72.5,32,0,59.95,4.21
3/13/20-13:34,91.4,72.5,34,0,62.78,4.21
3/13/20-14:04,92.3,73.4,34,0,62.87,4.21
3/13/20-14:34,99.5,73.4,36,0,66.47,4.21
3/13/20-15:04,95,73.4,36,0,67.23,4.21
3/13/20-15:34,94.1,73.4,37,0,69.41,4.21
3/13/20-16:04,95,73.4,39,0,71.93,4.21
3/13/20-16:34,86.9,73.4,39,0,72.7,4.21
3/13/20-17:04,83.3,73.4,40,0,73.8,4.21
3/13/20-17:34,82.4,73.4,40,0,74.91,4.21
3/13/20-18:04,82.4,75.2,5,0,9.1,4.21
3/13/20-18:34,77.9,72.5,29,0,53.74,4.21
3/13/20-19:04,75.2,72.5,31,0,57.42,4.21
3/13/20-19:34,73.4,72.5,33,0,60.35,4.21
3/13/20-20:04,72.5,71.6,34,0,63.21,4.21
3/13/20-20:34,71.6,71.6,36,0,65.81,4.21
3/13/20-21:04,71.6,71.6,37,0,68.39,4.21
3/13/20-21:34,71.6,71.6,38,0,70.62,4.21
3/13/20-22:04,71.6,71.6,39,0,72.85,4.21
3/13/20-22:34,71.6,71.6,40,0,74.7,4.21
3/13/20-23:04,71.6,71.6,42,0,76.94,4.21
3/13/20-23:34,71.6,71.6,43,0,79.52,4.21
3/14/20-0:04,71.6,71.6,44,0,81.38,4.21
3/14/20-0:34,71.6,71.6,45,0,83.62,4.21
3/14/20-1:04,71.6,71.6,46,0,85.47,4.21
3/14/20-1:34,71.6,71.6,47,0,87.71,4.21
3/14/20-2:04,71.6,71.6,48,0,89.57,4.21
3/14/20-2:34,71.6,71.6,50,0,91.8,4.21
3/14/20-3:04,71.6,71.6,51,0,93.66,4.21
3/14/20-3:34,71.6,71.6,52,0,95.87,4.21
3/14/20-4:04,71.6,71.6,53,0,97.76,4.21
3/14/20-4:34,71.6,71.6,54,0,99.63,4.21
3/14/20-5:04,71.6,71.6,55,0,101.5,4.21
3/14/20-5:34,71.6,71.6,56,0,103,4.21
3/14/20-6:04,71.6,71.6,57,0,105.2,4.21
